machine_type,vibration_mm_s,spindle_current_percent,spindle_temperature_C,acoustic_dba,lubrication_pressure_bar,coolant_temperature_C,active_failure,status
cnc,0.62,38.56,34.2,68.9,2.13,27.89,none,running
cnc,5.67,78.96,50.65,89.37,2.19,25.66,tool_breakage,fault
cnc,1.39,31.37,34.78,63.95,2.17,27.74,spindle_bearing_failure,running
cnc,0.66,39.99,35.61,70.37,2.25,27.16,none,running
cnc,1.63,52.19,44.29,88.01,2,27.6,tool_wear,running
cnc,0.5,26.68,23.15,55,2.06,27.68,none,running
cnc,0.94,44.92,41.18,78.45,2.11,27.69,none,running
cnc,3.25,50.57,59.26,90.54,2.11,26.39,spindle_bearing_failure,warning
cnc,0.9,47.93,41.12,83.06,2.18,27.07,none,running
cnc,3.37,45.62,52.47,84.53,1.84,26.31,spindle_bearing_failure,warning
cnc,4.79,59.14,74.73,100.08,1.95,26.81,spindle_bearing_failure,fault
cnc,2.42,31.19,36.16,65.22,1.98,25.41,spindle_bearing_failure,warning
cnc,1.66,45.3,44.47,75.11,2.01,26,spindle_bearing_failure,running
cnc,0.76,40.84,38.16,68.46,2.03,26.42,none,running
cnc,0.73,44.08,41.66,82.2,2.07,25.87,none,running
cnc,0.85,41.18,41.3,82.88,2.18,25.75,none,running
cnc,3.53,56.75,60.94,95.42,2.17,27.2,spindle_bearing_failure,warning
cnc,2.63,49.78,56.46,88.88,2.24,27.19,spindle_bearing_failure,warning
cnc,0.73,32.59,31.04,59.39,1.98,26.94,none,running
cnc,2.8,53.5,58.31,90.49,1.92,25.83,spindle_bearing_failure,warning
cnc,0.89,48.22,44.66,86.28,2.17,25.89,none,running
cnc,1.96,41.22,50.44,80.61,1.97,27.29,none,running
cnc,2.72,49.99,58.54,80.94,2.04,27.51,spindle_bearing_failure,warning
cnc,0.89,44.65,41.54,79.69,2.11,26.48,none,running
cnc,0.38,20.24,21.12,55,2.11,26.13,none,running
cnc,0.85,48.2,44.62,83.94,2.14,24.12,none,running
cnc,1.83,28.64,37.23,55,2.15,25.81,spindle_bearing_failure,running
cnc,3.82,54.28,62.96,98.56,2.27,25.84,tool_wear,warning
cnc,1.8,28.93,32.23,57.71,2.01,25.55,spindle_bearing_failure,running
cnc,0.79,41.5,42.37,81.35,2.23,25.9,none,running
cnc,2.55,51.06,54.77,79.61,1.84,27.48,spindle_bearing_failure,warning
cnc,1.65,29.78,32.97,56.61,2.18,25.49,spindle_bearing_failure,running
cnc,2.39,55.25,71.66,98.67,2.18,26.42,spindle_bearing_failure,fault
cnc,3.76,40.75,60.36,96.23,2.02,24.12,spindle_bearing_failure,warning
cnc,0.91,42.85,41.36,81.63,2.16,26.59,none,running
cnc,3.38,44.41,47.7,87.33,2.02,25.19,spindle_bearing_failure,warning
cnc,3.99,40.49,51.66,91.11,2.12,25.42,spindle_bearing_failure,warning
cnc,1.05,26.33,25.57,55,2.4,27.12,spindle_bearing_failure,running
cnc,0.71,40.76,39.53,73.12,2,26.84,none,running
cnc,2.72,56.84,56.93,103.92,1.96,26.23,spindle_bearing_failure,warning
cnc,2.94,50.66,60.41,93.83,2.17,26.99,spindle_bearing_failure,warning
cnc,3.47,47.48,47.67,81.16,1.94,25.57,lubrication_failure,warning
cnc,0.59,37.58,33.76,64.03,1.95,25.83,none,running
cnc,2.3,53.28,61.12,93.47,1.98,25.11,spindle_bearing_failure,warning
cnc,1.21,31.53,29.5,55,1.96,26.42,spindle_bearing_failure,running
cnc,0.94,45.74,41.84,83.63,1.9,26.13,none,running
cnc,0.67,30.11,26.94,55,1.75,26.64,tool_wear,running
cnc,0.67,39.12,41.18,73.22,2.2,25.34,none,running
cnc,1.86,60.49,51.64,95.42,2.08,27.09,tool_wear,warning
cnc,4.88,48.05,69.86,102.36,2.11,26.97,spindle_bearing_failure,fault
cnc,0.81,40.5,38.56,71.37,2.24,27.34,none,running
cnc,1.57,36.55,38.87,63.42,2.14,25.58,spindle_bearing_failure,running
cnc,1.19,44.08,42.27,77.03,1.93,26.12,tool_wear,running
cnc,0.95,44.2,45.94,87.03,2.21,25.89,none,running
cnc,0.93,40.56,42.42,79.63,2.09,26.8,none,running
cnc,0.98,43.65,45.66,81.31,2.03,24.11,none,running
cnc,0.76,42.62,36.7,71.35,1.97,25.15,none,running
cnc,1.11,46.52,38.81,75.18,2.14,26.84,tool_wear,running
cnc,2.11,55.56,54.97,91.78,2.16,25.82,spindle_bearing_failure,warning
cnc,1.28,48,43.28,86.88,1.94,25.5,tool_wear,running
cnc,0.75,34.25,35.18,67.67,2.14,25.82,none,running
cnc,4.2,60.47,65.39,87.35,2.14,25.26,spindle_bearing_failure,warning
cnc,1.89,29.93,37.33,55,2.04,26.01,spindle_bearing_failure,running
cnc,1.12,33.87,31.46,56.38,2.12,25.76,tool_wear,running
cnc,0.42,18.44,20,55,2.11,25.5,none,running
cnc,1.55,48.68,39.88,78.23,2.22,24.45,tool_wear,running
cnc,1.21,55.23,48.2,90.45,2.04,23.67,tool_wear,running
cnc,1.26,60.79,53.16,92.09,1.94,26.76,tool_wear,warning
cnc,2.57,51.31,53.26,89.62,1.02,25.97,lubrication_failure,warning
cnc,1.1,39.61,34.3,58.96,1.9,25.85,tool_wear,running
cnc,1.41,26.31,31.34,55,1.25,26.91,lubrication_failure,running
cnc,1.35,23.39,26.91,55,1.9,26.72,spindle_bearing_failure,running
cnc,1.1,32.7,29.35,58.76,2.24,26.77,tool_wear,running
cnc,0.88,31.35,28.15,55,2.05,24.83,tool_wear,running
cnc,0.61,33.6,26.54,55,2,27.17,tool_wear,running
cnc,1.2,44.41,40.93,72.38,1.95,26.04,tool_wear,running
cnc,0.89,46.43,46.34,85.71,2.26,26.12,none,running
cnc,4.17,47.42,59.88,92.8,2.19,27.12,spindle_bearing_failure,warning
cnc,0.77,33.69,28.05,55,1.96,25.58,tool_wear,running
cnc,2.45,53.88,58.89,87.21,1.89,25.09,spindle_bearing_failure,warning
cnc,1.3,63.84,56.92,94.81,2.24,26.22,tool_wear,warning
cnc,0.7,27.08,23.49,55,2.01,26.12,tool_wear,running
cnc,1.63,48.93,59.57,82.87,1.2,25.49,lubrication_failure,warning
cnc,3.64,48.43,50.7,79.1,1.94,27.01,spindle_bearing_failure,warning
cnc,1.72,54.92,49.86,89.15,1.89,24.55,tool_wear,running
cnc,0.79,31.17,24.95,55,1.74,27.3,tool_wear,running
cnc,1.5,53.21,47.83,88.3,1.89,25.89,tool_wear,running
cnc,0.67,33.71,37.54,67.72,2.03,25.63,none,running
cnc,1.46,69.23,51.07,100.62,2.12,27.38,tool_wear,warning
cnc,0.7,37.4,39.38,67.48,2.13,24.9,none,running
cnc,1.71,68.36,54.42,89.79,1.99,26.16,tool_wear,running
cnc,2.33,53.23,54.11,96.18,2.13,27.17,spindle_bearing_failure,warning
cnc,3.07,52.81,59.35,83.59,0.67,25.92,lubrication_failure,fault
cnc,1.35,52.38,41.52,72.54,1.87,24.99,tool_wear,running
cnc,2.57,44.36,55.89,91.02,2.32,24.95,spindle_bearing_failure,warning
cnc,3.02,59.35,53.17,87.14,1.22,26.48,lubrication_failure,warning
cnc,1.14,55.81,38.72,75.42,2.25,27.04,tool_wear,running
cnc,1.01,47.5,46.19,92.28,2.23,25.07,none,warning
cnc,1.32,54.05,54.38,95.94,2.21,26.41,tool_wear,warning
cnc,1.91,55.44,49.24,85.71,2.22,25.96,tool_wear,running
cnc,0.87,41.31,43.66,84.34,2.07,26.06,none,running
cnc,2.94,40.5,56.31,82.61,2.08,25.72,spindle_bearing_failure,warning
cnc,0.74,34.37,36.77,67,2.34,25.89,none,running
cnc,0.78,44.71,43.01,77.77,2.2,26.85,none,running
cnc,1.57,61.58,47.85,94.94,2.24,25.93,tool_wear,warning
cnc,0.98,47.75,44.98,86.26,2.13,26.15,none,running
cnc,1.28,54.62,39.57,79.95,1.91,27.46,tool_wear,running
cnc,0.92,39.28,40.61,76.24,1.97,26.57,none,running
cnc,1.27,66.69,48.34,91.71,2.08,25.4,tool_wear,running
cnc,1.8,51.4,52.43,85.61,0.59,24.86,lubrication_failure,fault
cnc,1.48,61.17,53.88,96.08,1.9,27.49,tool_wear,warning
cnc,3.67,45.41,57.11,89.94,1.95,26,spindle_bearing_failure,warning
cnc,0.97,44.69,32.84,64.2,2.24,25.1,tool_wear,running
cnc,1.89,36.77,42.38,58.9,0.83,25.26,lubrication_failure,warning
cnc,1.48,34.92,37.71,58.27,0.77,24.14,lubrication_failure,fault
cnc,0.58,24.51,20.86,55,2.05,26.27,tool_wear,running
cnc,1.23,48.28,43.97,77.22,1.9,25.26,tool_wear,running
cnc,1.8,27.68,30.81,55,0.64,25.85,lubrication_failure,fault
cnc,2.51,49.18,64.97,87.98,2.1,26.47,spindle_bearing_failure,warning
cnc,0.84,38.86,35.66,67.53,2.17,27.17,none,running
cnc,0.7,38.47,37.51,79.36,2.11,25.56,none,running
cnc,1.22,43.84,44.3,78.61,2.14,24.15,tool_wear,running
cnc,1.22,21.14,26.7,55,2.17,25.59,spindle_bearing_failure,running
cnc,3.23,42.62,53.96,81.46,1.98,24.43,spindle_bearing_failure,warning
cnc,4.34,64.84,63.45,103.23,2.05,25.35,spindle_bearing_failure,warning
cnc,2.04,61.42,60.76,95.06,1.29,27.2,lubrication_failure,warning
cnc,3.06,53.49,69.77,90.08,1.99,26.51,spindle_bearing_failure,warning
cnc,3.27,45.87,60.16,84.29,0.66,25.34,tool_breakage,fault
cnc,3.39,40.08,61.47,75.92,0.88,26.49,lubrication_failure,warning
cnc,3.67,47.28,64.31,85.96,1.11,27.13,lubrication_failure,warning
cnc,3.02,56.21,59.81,82.65,2.37,25.86,spindle_bearing_failure,warning
cnc,1.74,52.06,48.22,89.16,2.11,26.96,tool_wear,running
cnc,3.23,48.34,46.94,78.66,2.14,28.03,spindle_bearing_failure,warning
cnc,0.74,47.75,42.66,84.17,2.22,25.05,none,running
cnc,1.71,33.2,38.3,56.02,0.85,25.25,lubrication_failure,warning
cnc,0.65,36.22,34.31,69.2,2.08,27.66,none,running
cnc,2.68,35.2,41.76,57.56,1.97,24.6,spindle_bearing_failure,warning
cnc,2.35,52.95,57.98,91.4,2.04,25.01,spindle_bearing_failure,warning
cnc,0.77,34.8,37.38,67.29,2.1,26.66,none,running
cnc,0.88,45.03,41.4,76.46,2.19,27.7,none,running
cnc,2.79,41.02,61.88,80.78,0.89,26.13,lubrication_failure,warning
cnc,1.91,36.7,56.83,78.13,2.13,26.15,spindle_bearing_failure,running
cnc,0.98,34.58,32.97,59.92,2.04,25.11,tool_wear,running
cnc,1.63,58.46,56.01,87.95,1.95,26.32,tool_wear,running
cnc,0.6,31.09,28.36,55,2.23,25.87,none,running
cnc,1.49,59.49,48.46,88.61,2.32,26.84,tool_wear,running
cnc,4.47,53.5,66.41,98.87,2.21,25.01,spindle_bearing_failure,warning
cnc,1.7,36.78,30.19,59.78,0.64,26.16,lubrication_failure,fault
cnc,1.06,52.31,39.56,80.22,2.01,25.88,tool_wear,running
cnc,0.65,40.15,35.27,65.99,1.99,24.63,none,running
cnc,0.7,40.43,36.82,69.11,2.05,25.78,none,running
cnc,1.2,63.92,47.53,91.91,2,25.52,tool_wear,running
cnc,2.16,59.12,56.88,81.89,2.11,24.63,spindle_bearing_failure,warning
cnc,1.26,39.36,33.28,60.28,1.98,24.26,tool_wear,running
cnc,1.17,51.7,46.05,94.15,2.35,25.35,tool_wear,warning
cnc,3.15,40.99,52.47,77.13,1.84,24.55,spindle_bearing_failure,warning
cnc,0.65,28.17,22.16,55,1.9,26.96,tool_wear,running
cnc,0.76,38.22,34.57,67.74,2.02,25.72,none,running
cnc,2.58,57.04,55.01,98.1,1.09,24.59,spindle_bearing_failure,warning
cnc,1.15,54.38,42.37,76.35,2.25,27.23,tool_wear,running
cnc,2.48,49.1,48.53,81.34,0.93,27.01,lubrication_failure,warning
cnc,1.02,48.46,45.83,86.47,2.07,26.17,tool_wear,running
cnc,1.74,40.43,53.63,74.92,1.12,25.53,lubrication_failure,warning
cnc,3.41,43.19,63.16,84.01,0.7,27.45,lubrication_failure,fault
cnc,0.54,21.81,23.12,55,2.25,26.12,none,running
cnc,1.71,31.17,33.08,55,0.86,26.06,lubrication_failure,warning
cnc,3.45,59.44,67.95,85.06,2.2,26.99,spindle_bearing_failure,warning
cnc,2.85,47,67.11,90.3,2.05,24.79,spindle_bearing_failure,warning
cnc,1.02,43.58,43.41,82.96,2.02,26.29,none,running
