machine_type,vibration_mm_s,motor_current_A,gearbox_temperature_C,belt_speed_mps,load_kg,belt_alignment_mm,active_failure,status
conveyor,2.84,21.63,88.51,0.32,570.96,7.88,belt_misalignment,fault
conveyor,1.82,13.71,57.72,0.94,442.43,4.61,overload,fault
conveyor,0.78,16.19,51.31,0.89,277.8,5.62,overload,fault
conveyor,1.55,8.76,50.93,1.5,238.23,15.2,belt_misalignment,fault
conveyor,1.02,10.8,55.2,1.29,183.28,5.6,belt_misalignment,warning
conveyor,2.07,10.66,56.61,1.57,214.8,14.06,belt_misalignment,fault
conveyor,0.79,11.17,44.32,1.33,199.31,7.29,belt_misalignment,warning
conveyor,3.37,11.14,48.16,1.35,272.29,12.07,belt_misalignment,fault
conveyor,1.24,7.25,57.87,1.31,237.23,10,belt_misalignment,warning
conveyor,1.27,6.23,62.62,1.2,197.69,9.82,belt_misalignment,warning
conveyor,2.7,9.69,44.37,1.59,258.85,9.38,belt_misalignment,warning
conveyor,1.55,14.32,67.12,1.35,299.31,5.62,overload,fault
conveyor,2.6,17.78,66.76,0.84,554.16,3.29,overload,fault
conveyor,2.14,7.2,59.58,1.42,246.02,9.83,belt_misalignment,warning
conveyor,1.87,10.68,42.48,1.52,136.07,11.68,belt_misalignment,fault
conveyor,2.32,8.7,58.28,1.21,133.61,13.44,belt_misalignment,fault
conveyor,0.59,10.11,51.17,1.4,248.76,7.03,belt_misalignment,warning
conveyor,2.23,12.27,66.65,1.2,430.92,4.71,overload,fault
conveyor,2.45,7.55,72.19,1.42,400.75,5.46,overload,fault
conveyor,1.93,8.9,61.63,1.47,436.97,3.16,overload,fault
conveyor,2.12,13.79,60.51,1.33,422.76,2.95,overload,fault
conveyor,1.99,13.27,60.98,0.98,363.96,6.37,overload,warning
conveyor,2.25,6.03,50.86,1.33,242.71,5.71,roller_bearing_failure,warning
conveyor,3.03,8.67,41.24,1.32,171.56,3.95,roller_bearing_failure,warning
conveyor,2.48,9.68,40.32,1.31,144.07,5,roller_bearing_failure,warning
conveyor,0.64,7.37,36.3,1.7,165.87,1.15,none,running
conveyor,0.98,6.85,43.94,1.62,235.42,1.63,none,running
conveyor,3.14,5.94,46.59,1.45,193.54,4.52,roller_bearing_failure,warning
conveyor,0.94,9.15,45.69,1.16,204.32,12.83,belt_misalignment,fault
conveyor,0.67,6.23,49.71,1.51,166.14,3.14,none,running
conveyor,2.54,12.05,63.07,1.03,391.15,2.44,overload,fault
conveyor,0.75,5.29,43.74,1.53,186.66,2.63,none,running
