machine_type,vibration_mm_s,motor_current_A,bearing_temperature_C,suction_pressure_bar,discharge_pressure_bar,flow_rate_lpm,active_failure,status
pump,1.82,23.26,63.1,0.68,5.54,127.62,clogging,fault
pump,1.61,14.3,59.81,0.78,1.7,171.24,impeller_damage,fault
pump,1.19,10.57,63.53,0.74,3.21,145.51,impeller_damage,warning
pump,2.34,12.66,62.87,0.68,2.66,160.85,impeller_damage,warning
pump,1.96,13.64,69.11,0.6,5.31,93.97,clogging,warning
pump,0.84,14.32,65.51,0.97,3.63,150.62,seal_leakage,warning
pump,2.91,15.94,54.46,1.05,2.56,148.35,impeller_damage,warning
pump,2.46,13.35,58.66,1.09,3.32,177.47,seal_leakage,warning
pump,1.62,12.2,65.04,0.97,3.36,183.29,seal_leakage,warning
pump,2.78,20.72,66.18,0.48,6.38,155.73,clogging,fault
pump,1.82,17.18,75.51,0.87,5.21,121.94,clogging,fault
pump,1.21,13.88,65.86,1.04,1.47,118.59,impeller_damage,fault
pump,3.08,11.78,64.33,0.89,2.69,108.41,impeller_damage,warning
pump,1.29,16.68,65.86,0.83,1.4,155.64,impeller_damage,fault
pump,1.79,17.93,67.19,0.52,4.73,65.89,clogging,fault
pump,2.02,14.24,54.72,1.04,2.06,212.01,seal_leakage,warning
pump,2.24,22.78,65.9,0.55,4.51,57.76,clogging,fault
pump,2.33,17.71,57.99,0.93,3.27,183.48,impeller_damage,warning
pump,1.06,11.92,61.06,1,3.67,216.47,seal_leakage,running
pump,2.37,14.32,54.46,1.05,3.06,102.05,impeller_damage,warning
pump,3.04,19.18,53.1,0.9,2.36,104.09,impeller_damage,warning
pump,1.98,12.16,64.57,0.97,2.1,113.06,impeller_damage,warning
pump,0.68,19.56,63.03,1.02,3.15,175.63,impeller_damage,warning
pump,2.52,10.33,64.34,0.96,2.05,113.6,impeller_damage,warning
pump,3.03,16.54,66.27,1.12,1.58,82.74,impeller_damage,fault
pump,2.21,14.71,58.07,0.95,2.3,99.02,impeller_damage,warning
pump,1.99,13.52,50.04,1.15,2.91,173.07,seal_leakage,running
pump,2.08,12.12,57.69,0.95,1.33,174.37,impeller_damage,fault
pump,1.39,13.72,57.87,1.01,2.27,89.16,impeller_damage,warning
pump,1.56,11.27,61.88,1.18,3.82,167.13,seal_leakage,running
pump,2.48,10.4,59.86,1.11,2.19,117.32,seal_leakage,warning
pump,2.48,17.92,65.33,0.7,1.44,146.76,impeller_damage,fault
pump,1.47,15.26,60.76,0.97,3.28,192.57,seal_leakage,running
pump,1.47,20.65,56.18,0.94,3.17,183.75,impeller_damage,fault
pump,2.8,15.83,58.5,1.03,2.6,167.67,impeller_damage,warning
pump,1,13.9,60.17,1.04,2.71,135.18,seal_leakage,running
pump,1.88,16.8,49.13,1.09,2.48,166.23,seal_leakage,warning
pump,1.42,18.2,54.99,0.85,3.14,173.57,impeller_damage,warning
pump,2.16,20.58,67.45,0.7,6.2,57.41,clogging,fault
pump,2.2,16.1,72.25,0.56,5.65,173.55,clogging,warning
pump,2.08,13.83,73.95,0.99,2.37,116.69,impeller_damage,warning
pump,1.05,12.8,63.45,0.91,3.68,211.1,seal_leakage,running
pump,3.28,23.23,62.72,0.53,5.65,51.38,clogging,fault
pump,1.68,17.87,54.98,0.8,1.78,124.93,impeller_damage,fault
pump,3.32,16.73,58.76,1.16,2.67,92.44,impeller_damage,warning
pump,1.2,14.85,52.05,1.01,3.27,207.97,seal_leakage,running
pump,1.78,16.04,61.22,0.73,2.09,159.05,impeller_damage,warning
pump,0.94,17.4,63.95,0.61,2.44,63.46,impeller_damage,fault
pump,3.57,13.82,58.94,0.78,2.84,164.47,impeller_damage,fault
pump,1.38,14.01,60.19,1.16,1.77,138.32,impeller_damage,fault
pump,0.85,13.1,63.89,1.18,2.48,110.53,impeller_damage,warning
pump,2.48,11.65,62.69,1.07,3.03,179.43,seal_leakage,warning
pump,3.1,13.06,59.61,1.12,1.45,108.85,impeller_damage,fault
pump,1.42,18.1,61.35,1.15,2.35,161.95,impeller_damage,warning
pump,0.99,12.7,57.22,0.92,3.69,156.93,seal_leakage,running
pump,1.19,11.07,57.08,1.11,3.42,186.17,seal_leakage,running
pump,0.6,16.04,63.24,1.02,2.81,181.8,seal_leakage,warning
pump,1.51,15.14,61.71,1.03,3.47,164.86,seal_leakage,running
pump,1.24,16.36,52.03,1.06,3.36,173.85,seal_leakage,warning
pump,2.41,18.76,61.6,0.98,3.05,115.01,impeller_damage,warning
pump,1.77,13.43,52.7,0.85,2.46,156.08,impeller_damage,warning
pump,1.53,13.56,53.11,1.12,2.36,163.47,seal_leakage,warning
pump,1.44,17.81,58.99,0.82,2.95,97.19,impeller_damage,warning
pump,2.25,16.98,62.31,0.92,4.33,102.73,clogging,warning
pump,2.62,13.53,49.55,1.08,2.95,118.35,seal_leakage,warning
pump,2.13,14.39,71.65,1.05,2.03,138.01,impeller_damage,warning
pump,1.63,12.62,65.6,0.83,1.4,127.81,impeller_damage,fault
pump,1.37,11.83,64.96,0.87,2.08,157.63,impeller_damage,warning
pump,2.16,16.3,57.77,0.89,2.56,164.15,none,warning
pump,2.32,14.88,62.39,0.94,2.51,181.24,impeller_damage,warning
pump,1.03,18.88,60.65,0.67,2.96,135.53,impeller_damage,warning
pump,1.01,12.33,60.89,0.91,2.42,169.93,seal_leakage,warning
pump,1.48,16.44,57.95,1.01,3.02,183.41,impeller_damage,warning
pump,2.68,14.79,62.44,1.01,1.26,107.33,impeller_damage,fault
pump,1.84,13.75,63.22,0.9,2,82.23,impeller_damage,warning
pump,2.22,12.89,62.48,0.96,2.77,85.51,impeller_damage,warning
pump,2.64,19.01,58.89,0.87,4.6,49.91,clogging,fault
pump,2.75,12.48,61.11,0.9,2.23,138.46,impeller_damage,warning
pump,1.39,14.12,60.52,0.87,3.62,181.66,seal_leakage,running
pump,1.72,19.65,63.05,0.76,5.68,49.48,clogging,fault
pump,1.12,12.81,64.81,1.14,3.07,108.55,impeller_damage,warning
pump,1.81,18.83,60.87,0.91,1.91,74.92,impeller_damage,fault
pump,3.53,12.16,71.83,1.1,2.4,156.25,impeller_damage,fault
pump,2.47,13.11,62.63,1,2.02,113.61,impeller_damage,warning
pump,1.4,18.36,71.74,0.89,2.4,157.66,impeller_damage,warning
pump,2.69,17.45,67.43,0.72,6.39,108.5,clogging,warning
pump,1.62,13.26,57.41,1.08,2.3,162.66,seal_leakage,warning
pump,1.03,12.24,55.75,0.94,2.94,155.59,impeller_damage,running
pump,2.19,12.89,70.05,0.89,2.04,173.84,impeller_damage,warning
pump,2.87,23.79,65.85,0.88,5.1,71.34,clogging,fault
pump,4.09,15.73,56.27,0.59,3.5,144.13,cavitation,fault
pump,1.47,11.5,52.18,1.13,2.86,172.33,seal_leakage,running
pump,1.77,11.99,60.3,1.06,4.37,225.43,none,running
pump,1.7,11.33,71.78,1.08,1.52,135.45,impeller_damage,fault
pump,3.19,12.07,78.15,1.12,4.36,170.47,bearing_failure,fault
pump,1.36,12.1,59.75,1,2.83,126.71,seal_leakage,running
pump,2.24,15.12,83.19,1.08,3.86,262.29,bearing_failure,fault
pump,2.01,12.3,56.25,0.93,4.31,186.44,bearing_failure,warning
pump,1.89,16.96,61.18,1.09,3.56,184.66,bearing_failure,warning
pump,3.46,16.65,83.05,0.95,4.17,207.44,bearing_failure,fault
pump,1.92,11.76,55.23,1.12,4.57,225.65,none,running
pump,1.64,26.24,68.11,0.36,6.59,135.54,clogging,fault
pump,1.75,18.57,67.79,0.99,4.52,249.57,bearing_failure,warning
pump,1.53,19.37,71.07,0.76,1.94,103.71,impeller_damage,warning
pump,2.17,14.25,50.95,0.9,2.79,167.92,seal_leakage,warning
pump,1.65,18.78,73.35,0.66,2.08,147.11,impeller_damage,warning
pump,1.2,10.94,57.95,1.18,3.74,180.85,none,running
pump,2.8,20.15,74.3,0.52,5.49,156.86,clogging,fault
pump,1.11,17.17,59.95,1.05,2.43,132.19,impeller_damage,warning
pump,3.68,16.52,77.17,1.05,4.55,264.71,bearing_failure,fault
pump,2.36,13.66,76.69,0.94,4.49,196.86,bearing_failure,fault
pump,2.42,15.61,52.68,1.07,3.72,220.79,bearing_failure,warning
pump,2.03,14.82,57.63,0.99,2.21,202.72,seal_leakage,warning
pump,2.44,11.25,69.85,0.96,1.47,117.66,impeller_damage,fault
pump,1.74,13.06,54.42,1.15,4.15,220.34,none,running
pump,1.94,16.59,72.6,0.88,2.33,146.45,impeller_damage,warning
pump,2.73,13.14,56.46,0.88,3.87,199.89,bearing_failure,warning
pump,1.62,16.12,55.66,0.98,4.59,220.89,none,warning
pump,1.7,16.74,59,1.11,2.06,160.06,impeller_damage,warning
pump,1.83,13.38,69.86,0.83,2.85,168.37,impeller_damage,warning
pump,2.22,15.18,64.11,1.19,3.49,200.7,bearing_failure,warning
pump,1.69,16.74,58.96,0.85,1.79,142,impeller_damage,fault
pump,1.76,15.73,71.68,1.03,1.44,120.72,impeller_damage,fault
pump,2.57,19.45,68.49,1.17,4.6,266.06,bearing_failure,warning
pump,2.96,15.4,62.57,0.94,4.28,171.49,bearing_failure,warning
pump,3.26,16.78,69.12,1.05,1.73,141.37,impeller_damage,fault
pump,1.65,14.77,70.81,0.95,4.34,164.77,bearing_failure,warning
pump,3.02,17.37,64.84,1.04,2.65,78.6,impeller_damage,fault
pump,2.37,13.65,70.15,0.93,4.15,197.3,bearing_failure,warning
pump,1.91,13.79,53.54,1.08,3.46,160.86,seal_leakage,running
pump,3.13,15.76,61.66,0.71,4.69,149.67,clogging,warning
pump,2.76,18.51,62.82,0.88,2.84,103.85,impeller_damage,warning
pump,1.27,12.01,56.24,1.11,4.04,224.56,none,running
pump,1.45,15.5,71.92,0.88,2.06,78.98,impeller_damage,fault
pump,2.12,15.41,43.36,0.97,4.66,200.96,bearing_failure,warning
pump,3.1,17.33,72.97,0.92,4.04,212.21,bearing_failure,warning
pump,2.78,11.48,60.2,1.12,4.21,198.98,bearing_failure,warning
pump,1.78,16.3,59.17,0.96,4.49,265.07,none,warning
pump,2.02,12.69,69.42,0.82,3.68,213.58,bearing_failure,warning
pump,2.43,14.21,79.14,1,3.98,203.64,bearing_failure,fault
pump,0.88,11.05,52.24,1.25,4.23,228.07,none,running
pump,1.92,13.11,49.02,1.11,4.46,267.12,none,running
pump,2.79,14.41,64.34,0.95,2.3,150.08,impeller_damage,warning
pump,1.77,15.09,55.83,1.04,4.55,238.07,none,running
pump,2.22,17.52,54.35,0.86,3.01,145.87,impeller_damage,warning
pump,1.16,9.66,51.56,1.13,3.97,219.77,none,running
pump,2.36,12.52,54.39,1.11,3.54,163.62,seal_leakage,warning
pump,1.1,14.58,35.63,0.95,4.24,218.4,bearing_failure,running
pump,3.07,15.8,59.26,1.15,1.76,123.05,impeller_damage,fault
pump,3.17,17.32,64.06,1.21,4.09,228.85,bearing_failure,warning
pump,3.06,14.55,65.43,1.13,4.28,220.19,bearing_failure,warning
pump,3.01,15.06,60.18,0.84,3.12,84.23,impeller_damage,warning
pump,3.53,15.31,91.98,0.96,4.14,240.53,bearing_failure,fault
pump,3.16,19.06,72.97,0.95,4.11,208.74,bearing_failure,warning
pump,1.54,13.12,54,1.16,3.61,239.55,none,running
pump,3.05,15.43,58.73,0.85,1.98,186.44,impeller_damage,warning
pump,1.9,11.08,53.05,1.08,4.43,196.45,none,running
pump,2.55,15.78,64.71,0.93,1.4,85.73,impeller_damage,fault
pump,0.74,14.21,63.54,1.07,3.14,194.47,seal_leakage,running
pump,1.47,18.71,72.24,1.18,1.81,100.36,impeller_damage,warning
pump,1.46,12,57.47,1.16,4.76,275.95,none,running
pump,1.77,11.64,51.39,1.18,4.06,214.69,none,running
pump,1.7,11.89,77.06,1.06,4.01,204.84,bearing_failure,fault
pump,3.4,15.53,71.32,0.74,2.03,150.99,impeller_damage,warning
pump,5.08,11.73,74.92,0.15,1.71,57.24,dry_run,fault
pump,2.52,24.26,60.11,0.73,6,65.97,clogging,fault
pump,2.33,14.05,86.52,0.97,3.69,150,bearing_failure,fault
pump,2.91,23.27,66.7,0.93,6.35,97.05,clogging,fault
pump,1.11,16.46,40.04,0.83,4.43,256.99,bearing_failure,warning
pump,1.96,11.77,85.56,0.15,0.44,10.17,dry_run,fault
pump,3.54,17.26,60.66,0.86,1.43,105.64,impeller_damage,fault
pump,2.28,14.87,71.68,1.18,3.71,216.63,bearing_failure,warning
pump,1.5,19.75,61.45,0.65,6.76,118.93,clogging,warning
pump,3.26,13.95,63.79,1.06,4.12,243.3,bearing_failure,warning
pump,1.61,16.14,75.91,0.71,5.04,43.56,clogging,fault
pump,3.18,12.27,91.23,1.07,3.44,199.11,bearing_failure,fault
pump,2.95,14.41,75.45,0.47,5.49,147.05,clogging,fault
pump,1.01,11.43,54.62,0.93,3.91,260.33,none,running
pump,2.76,27.2,68.98,0.49,6.02,94.29,clogging,fault
pump,1.09,14.07,78.25,0.79,4.84,34.32,clogging,fault
pump,3.48,12.38,68.36,0.82,2.42,172.45,dry_run,warning
pump,1.11,15.65,68.29,0.47,6.41,90.06,clogging,fault
pump,2.19,12.7,63.29,1.11,2.22,134.37,impeller_damage,warning
pump,1.69,10.53,62.42,0.75,2.16,105.17,impeller_damage,warning
pump,2.02,12.99,60.24,1.07,4.33,196.71,bearing_failure,warning
pump,1.81,16.71,58.79,0.49,5.26,115.21,clogging,fault
pump,1.44,15.89,58.29,0.68,4.6,72.22,clogging,fault
pump,1.8,18.39,70.79,0.72,1.79,164.57,impeller_damage,fault
pump,1.66,15.16,63.51,0.68,3.17,134.03,impeller_damage,warning
pump,2.48,16.38,68.16,0.8,1.42,143.55,impeller_damage,fault
pump,3.55,14.09,93.78,1.12,4.02,159.82,bearing_failure,fault
pump,2.7,20.72,66.14,0.68,4.23,126.82,clogging,fault
pump,1.54,13.8,54.04,1.11,3.89,161.77,seal_leakage,running
pump,1.69,16.71,73.83,1.17,3.53,202.1,dry_run,warning
pump,1.28,13.62,57.6,0.88,4.11,229.47,none,running
pump,2.66,19.46,60.48,1.13,3.89,210.3,bearing_failure,warning
pump,3.51,14.11,95,0.9,3.96,208.22,bearing_failure,fault
pump,1.84,16.18,82.96,1.19,4.35,217.27,bearing_failure,fault
pump,1.82,12.86,61.69,0.99,3.57,181.51,seal_leakage,running
pump,3.38,13.87,71.17,0.91,4.24,199.43,bearing_failure,warning
pump,0.99,15.3,56.33,0.85,2.98,128.02,impeller_damage,running
pump,2.21,12.59,58.2,0.97,4.28,108.89,clogging,warning
pump,3.16,21.23,73.08,0.86,5.28,119.94,clogging,fault
pump,1.93,20.21,69.07,0.86,5.66,78.77,clogging,fault
pump,3.15,13.59,78.3,0.94,4.45,173.69,bearing_failure,fault
pump,1.58,20.93,67.11,0.78,6.34,79.44,clogging,fault
pump,2.76,14.24,60.51,1.03,4.54,169.79,bearing_failure,warning
pump,1.88,10.06,56.53,1.16,4.27,205.63,none,running
pump,4.32,14.5,90.74,0.32,0.64,53.88,dry_run,fault
pump,1.66,11.06,64.78,0.74,2.91,96.72,impeller_damage,warning
pump,4.28,17.34,75.71,0.97,3.95,261.78,bearing_failure,fault
pump,0.77,7.65,65.93,0.14,0.14,49.19,dry_run,fault
pump,2.77,15.15,65.55,1.01,4.21,187.13,bearing_failure,warning
pump,1.6,13.02,56.16,0.98,3.87,226.03,none,running
pump,3.21,12.06,62.9,1.05,3.64,178.51,bearing_failure,warning
pump,2.26,13.1,56.28,1.08,4.17,196.72,none,warning
pump,3.58,17.37,64.3,1.13,3.99,191.05,bearing_failure,fault
pump,3.14,15.5,60.77,0.48,5.33,81.15,clogging,fault
pump,1.39,14.06,65.75,0.93,1.42,156.33,impeller_damage,fault
pump,3.14,16.5,64.72,1.05,4.3,241.17,bearing_failure,warning
pump,4.3,15.79,67.8,0.61,2.39,153.97,cavitation,fault
pump,2.45,20.38,62.9,0.7,4.18,127.59,clogging,fault
pump,1.5,11.27,56.89,1.1,2.95,120.57,clogging,running
pump,1.85,20.79,64.47,0.52,5.87,94.76,clogging,fault
pump,2.7,12.76,60.5,1.1,3.33,142.79,seal_leakage,warning
pump,2.1,10.93,63.79,1.16,3.2,186.07,seal_leakage,warning
pump,1.33,13.35,48.86,1.03,4.13,189.76,none,running
pump,1.28,16.67,65.24,0.76,4.21,137.29,clogging,warning
pump,4.49,8.39,87.33,0.38,1.88,70.19,dry_run,fault
pump,2.35,16.25,69.67,1.08,3.7,230.05,bearing_failure,warning
pump,5.21,11.43,62.94,0.88,3.35,178,cavitation,fault
pump,1.34,13.33,62.07,0.96,2.97,202.37,seal_leakage,running
pump,2.01,21.76,59.2,0.42,6.12,79.43,clogging,fault
pump,2.12,20.29,67.55,0.43,4.47,60,clogging,fault
pump,1.51,10.47,84.17,0.26,0,48.6,dry_run,fault
pump,2.12,17.09,74.76,0.98,3.44,207.92,bearing_failure,warning
pump,1.6,12.28,58.89,1.1,2.31,176.31,seal_leakage,warning
pump,2.45,11.96,68.2,0.53,3.07,125.48,cavitation,warning
pump,2.02,15.06,52.08,1.11,2.59,163.31,seal_leakage,warning
pump,2.43,12.15,86.6,0.97,4.29,158.03,bearing_failure,fault
pump,1.22,18.25,69.9,1.07,2.94,116.66,impeller_damage,warning
pump,1.75,20.42,64.2,0.49,5.87,75.27,clogging,fault
pump,1.87,21.51,65.03,0.8,4.28,84.35,clogging,fault
pump,3.96,12.73,80.56,1.12,3.85,174.03,bearing_failure,fault
pump,3.63,11.37,64.94,0.69,2.2,149.74,cavitation,fault
pump,2.64,12.73,67.92,1.1,1.78,100.08,impeller_damage,fault
